"","Crime Type","Occurrence"
"1","THEFT",418
"2","BATTERY",376
"3","CRIMINAL DAMAGE",285
"4","ASSAULT",125
"5","ROBBERY",118
"6","MOTOR VEHICLE THEFT",113
"7","OTHER OFFENSE",112
"8","DECEPTIVE PRACTICE",98
"9","BURGLARY",82
"10","NARCOTICS",42
"11","CRIMINAL TRESPASS",23
"12","OFFENSE INVOLVING CHILDREN",17
"13","SEX OFFENSE",12
"14","WEAPONS VIOLATION",12
"15","CRIM SEXUAL ASSAULT",10
"16","PUBLIC PEACE VIOLATION",6
"17","HOMICIDE",3
"18","STALKING",3
"19","ARSON",2
"20","KIDNAPPING",2
"21","INTERFERENCE WITH PUBLIC OFFICER",1
"22","INTIMIDATION",1
"23","NON-CRIMINAL",1
"24","OBSCENITY",1
"25","CONCEALED CARRY LICENSE VIOLATION",0
"26","GAMBLING",0
"27","HUMAN TRAFFICKING",0
"28","LIQUOR LAW VIOLATION",0
"29","NON - CRIMINAL",0
"30","NON-CRIMINAL (SUBJECT SPECIFIED)",0
"31","OTHER NARCOTIC VIOLATION",0
"32","PROSTITUTION",0
"33","PUBLIC INDECENCY",0
