"","Crime Type","Occurrence"
"1","BATTERY",199
"2","THEFT",151
"3","CRIMINAL DAMAGE",122
"4","ASSAULT",95
"5","OTHER OFFENSE",73
"6","BURGLARY",69
"7","DECEPTIVE PRACTICE",58
"8","NARCOTICS",50
"9","ROBBERY",43
"10","MOTOR VEHICLE THEFT",41
"11","WEAPONS VIOLATION",30
"12","CRIMINAL TRESPASS",24
"13","OFFENSE INVOLVING CHILDREN",12
"14","PUBLIC PEACE VIOLATION",11
"15","CRIM SEXUAL ASSAULT",7
"16","INTERFERENCE WITH PUBLIC OFFICER",6
"17","HOMICIDE",5
"18","ARSON",3
"19","KIDNAPPING",1
"20","LIQUOR LAW VIOLATION",1
"21","SEX OFFENSE",1
"22","STALKING",1
"23","CONCEALED CARRY LICENSE VIOLATION",0
"24","GAMBLING",0
"25","HUMAN TRAFFICKING",0
"26","INTIMIDATION",0
"27","NON - CRIMINAL",0
"28","NON-CRIMINAL",0
"29","NON-CRIMINAL (SUBJECT SPECIFIED)",0
"30","OBSCENITY",0
"31","OTHER NARCOTIC VIOLATION",0
"32","PROSTITUTION",0
"33","PUBLIC INDECENCY",0
