"","Crime Type","Occurrence"
"1","THEFT",188
"2","BATTERY",135
"3","ASSAULT",76
"4","CRIMINAL DAMAGE",73
"5","DECEPTIVE PRACTICE",38
"6","ROBBERY",37
"7","MOTOR VEHICLE THEFT",32
"8","NARCOTICS",32
"9","CRIMINAL TRESPASS",28
"10","OTHER OFFENSE",22
"11","BURGLARY",16
"12","WEAPONS VIOLATION",14
"13","OFFENSE INVOLVING CHILDREN",8
"14","HOMICIDE",5
"15","CRIM SEXUAL ASSAULT",4
"16","INTERFERENCE WITH PUBLIC OFFICER",4
"17","ARSON",2
"18","PUBLIC PEACE VIOLATION",2
"19","SEX OFFENSE",2
"20","GAMBLING",1
"21","NON-CRIMINAL (SUBJECT SPECIFIED)",1
"22","CONCEALED CARRY LICENSE VIOLATION",0
"23","HUMAN TRAFFICKING",0
"24","INTIMIDATION",0
"25","KIDNAPPING",0
"26","LIQUOR LAW VIOLATION",0
"27","NON - CRIMINAL",0
"28","NON-CRIMINAL",0
"29","OBSCENITY",0
"30","OTHER NARCOTIC VIOLATION",0
"31","PROSTITUTION",0
"32","PUBLIC INDECENCY",0
"33","STALKING",0
