"","Crime Type","Occurrence"
"1","THEFT",528
"2","BATTERY",439
"3","CRIMINAL DAMAGE",358
"4","DECEPTIVE PRACTICE",208
"5","OTHER OFFENSE",170
"6","ASSAULT",167
"7","BURGLARY",146
"8","MOTOR VEHICLE THEFT",111
"9","ROBBERY",96
"10","NARCOTICS",69
"11","CRIMINAL TRESPASS",61
"12","OFFENSE INVOLVING CHILDREN",28
"13","WEAPONS VIOLATION",27
"14","SEX OFFENSE",19
"15","CRIM SEXUAL ASSAULT",15
"16","PUBLIC PEACE VIOLATION",10
"17","LIQUOR LAW VIOLATION",8
"18","HOMICIDE",5
"19","KIDNAPPING",5
"20","ARSON",3
"21","INTERFERENCE WITH PUBLIC OFFICER",3
"22","INTIMIDATION",2
"23","OBSCENITY",2
"24","STALKING",2
"25","NON-CRIMINAL",1
"26","PROSTITUTION",1
"27","CONCEALED CARRY LICENSE VIOLATION",0
"28","GAMBLING",0
"29","HUMAN TRAFFICKING",0
"30","NON - CRIMINAL",0
"31","NON-CRIMINAL (SUBJECT SPECIFIED)",0
"32","OTHER NARCOTIC VIOLATION",0
"33","PUBLIC INDECENCY",0
