"","Crime Type","Occurrence"
"1","THEFT",224
"2","BATTERY",105
"3","CRIMINAL DAMAGE",86
"4","DECEPTIVE PRACTICE",73
"5","BURGLARY",48
"6","ASSAULT",40
"7","OTHER OFFENSE",40
"8","MOTOR VEHICLE THEFT",33
"9","NARCOTICS",26
"10","ROBBERY",24
"11","CRIMINAL TRESPASS",15
"12","OFFENSE INVOLVING CHILDREN",9
"13","WEAPONS VIOLATION",5
"14","CRIM SEXUAL ASSAULT",3
"15","LIQUOR LAW VIOLATION",2
"16","SEX OFFENSE",2
"17","ARSON",1
"18","INTERFERENCE WITH PUBLIC OFFICER",1
"19","INTIMIDATION",1
"20","PUBLIC PEACE VIOLATION",1
"21","CONCEALED CARRY LICENSE VIOLATION",0
"22","GAMBLING",0
"23","HOMICIDE",0
"24","HUMAN TRAFFICKING",0
"25","KIDNAPPING",0
"26","NON - CRIMINAL",0
"27","NON-CRIMINAL",0
"28","NON-CRIMINAL (SUBJECT SPECIFIED)",0
"29","OBSCENITY",0
"30","OTHER NARCOTIC VIOLATION",0
"31","PROSTITUTION",0
"32","PUBLIC INDECENCY",0
"33","STALKING",0
