"","Crime Type","Occurrence"
"1","THEFT",143
"2","BATTERY",92
"3","CRIMINAL DAMAGE",71
"4","ASSAULT",46
"5","OTHER OFFENSE",42
"6","MOTOR VEHICLE THEFT",33
"7","DECEPTIVE PRACTICE",27
"8","BURGLARY",22
"9","ROBBERY",18
"10","CRIMINAL TRESPASS",14
"11","WEAPONS VIOLATION",12
"12","NARCOTICS",6
"13","CRIM SEXUAL ASSAULT",3
"14","KIDNAPPING",2
"15","SEX OFFENSE",2
"16","ARSON",1
"17","HOMICIDE",1
"18","INTIMIDATION",1
"19","NON-CRIMINAL",1
"20","OBSCENITY",1
"21","OFFENSE INVOLVING CHILDREN",1
"22","PUBLIC PEACE VIOLATION",1
"23","CONCEALED CARRY LICENSE VIOLATION",0
"24","GAMBLING",0
"25","HUMAN TRAFFICKING",0
"26","INTERFERENCE WITH PUBLIC OFFICER",0
"27","LIQUOR LAW VIOLATION",0
"28","NON - CRIMINAL",0
"29","NON-CRIMINAL (SUBJECT SPECIFIED)",0
"30","OTHER NARCOTIC VIOLATION",0
"31","PROSTITUTION",0
"32","PUBLIC INDECENCY",0
"33","STALKING",0
