"","Crime Type","Occurrence"
"1","THEFT",156
"2","BATTERY",118
"3","CRIMINAL DAMAGE",100
"4","BURGLARY",73
"5","DECEPTIVE PRACTICE",69
"6","OTHER OFFENSE",68
"7","ASSAULT",47
"8","MOTOR VEHICLE THEFT",39
"9","CRIMINAL TRESPASS",23
"10","NARCOTICS",18
"11","ROBBERY",17
"12","OFFENSE INVOLVING CHILDREN",14
"13","PUBLIC PEACE VIOLATION",4
"14","SEX OFFENSE",4
"15","CRIM SEXUAL ASSAULT",3
"16","ARSON",2
"17","INTERFERENCE WITH PUBLIC OFFICER",2
"18","KIDNAPPING",2
"19","LIQUOR LAW VIOLATION",1
"20","PUBLIC INDECENCY",1
"21","WEAPONS VIOLATION",1
"22","CONCEALED CARRY LICENSE VIOLATION",0
"23","GAMBLING",0
"24","HOMICIDE",0
"25","HUMAN TRAFFICKING",0
"26","INTIMIDATION",0
"27","NON - CRIMINAL",0
"28","NON-CRIMINAL",0
"29","NON-CRIMINAL (SUBJECT SPECIFIED)",0
"30","OBSCENITY",0
"31","OTHER NARCOTIC VIOLATION",0
"32","PROSTITUTION",0
"33","STALKING",0
