"","Crime Type","Occurrence"
"1","BATTERY",111
"2","THEFT",78
"3","CRIMINAL DAMAGE",66
"4","ASSAULT",45
"5","DECEPTIVE PRACTICE",38
"6","OTHER OFFENSE",32
"7","BURGLARY",24
"8","MOTOR VEHICLE THEFT",12
"9","NARCOTICS",8
"10","CRIMINAL TRESPASS",7
"11","OFFENSE INVOLVING CHILDREN",4
"12","WEAPONS VIOLATION",3
"13","CRIM SEXUAL ASSAULT",2
"14","INTERFERENCE WITH PUBLIC OFFICER",2
"15","PUBLIC PEACE VIOLATION",2
"16","ROBBERY",2
"17","SEX OFFENSE",2
"18","STALKING",1
"19","ARSON",0
"20","CONCEALED CARRY LICENSE VIOLATION",0
"21","GAMBLING",0
"22","HOMICIDE",0
"23","HUMAN TRAFFICKING",0
"24","INTIMIDATION",0
"25","KIDNAPPING",0
"26","LIQUOR LAW VIOLATION",0
"27","NON - CRIMINAL",0
"28","NON-CRIMINAL",0
"29","NON-CRIMINAL (SUBJECT SPECIFIED)",0
"30","OBSCENITY",0
"31","OTHER NARCOTIC VIOLATION",0
"32","PROSTITUTION",0
"33","PUBLIC INDECENCY",0
