"","Crime Type","Occurrence"
"1","THEFT",192
"2","CRIMINAL DAMAGE",139
"3","BATTERY",132
"4","ASSAULT",59
"5","OTHER OFFENSE",54
"6","BURGLARY",52
"7","NARCOTICS",52
"8","MOTOR VEHICLE THEFT",40
"9","DECEPTIVE PRACTICE",35
"10","ROBBERY",22
"11","CRIMINAL TRESPASS",13
"12","OFFENSE INVOLVING CHILDREN",11
"13","WEAPONS VIOLATION",8
"14","ARSON",3
"15","STALKING",3
"16","CRIM SEXUAL ASSAULT",1
"17","INTERFERENCE WITH PUBLIC OFFICER",1
"18","KIDNAPPING",1
"19","LIQUOR LAW VIOLATION",1
"20","NON-CRIMINAL",1
"21","SEX OFFENSE",1
"22","CONCEALED CARRY LICENSE VIOLATION",0
"23","GAMBLING",0
"24","HOMICIDE",0
"25","HUMAN TRAFFICKING",0
"26","INTIMIDATION",0
"27","NON - CRIMINAL",0
"28","NON-CRIMINAL (SUBJECT SPECIFIED)",0
"29","OBSCENITY",0
"30","OTHER NARCOTIC VIOLATION",0
"31","PROSTITUTION",0
"32","PUBLIC INDECENCY",0
"33","PUBLIC PEACE VIOLATION",0
