"","Crime Type","Occurrence"
"1","BATTERY",195
"2","THEFT",195
"3","CRIMINAL DAMAGE",131
"4","OTHER OFFENSE",88
"5","ASSAULT",87
"6","DECEPTIVE PRACTICE",50
"7","BURGLARY",37
"8","MOTOR VEHICLE THEFT",33
"9","NARCOTICS",25
"10","ROBBERY",25
"11","CRIMINAL TRESPASS",21
"12","OFFENSE INVOLVING CHILDREN",11
"13","WEAPONS VIOLATION",10
"14","PUBLIC PEACE VIOLATION",7
"15","CRIM SEXUAL ASSAULT",5
"16","SEX OFFENSE",4
"17","ARSON",2
"18","HOMICIDE",2
"19","INTERFERENCE WITH PUBLIC OFFICER",2
"20","KIDNAPPING",2
"21","CONCEALED CARRY LICENSE VIOLATION",1
"22","GAMBLING",1
"23","STALKING",1
"24","HUMAN TRAFFICKING",0
"25","INTIMIDATION",0
"26","LIQUOR LAW VIOLATION",0
"27","NON - CRIMINAL",0
"28","NON-CRIMINAL",0
"29","NON-CRIMINAL (SUBJECT SPECIFIED)",0
"30","OBSCENITY",0
"31","OTHER NARCOTIC VIOLATION",0
"32","PROSTITUTION",0
"33","PUBLIC INDECENCY",0
