"","Crime Type","Occurrence"
"1","THEFT",1390
"2","BATTERY",552
"3","CRIMINAL DAMAGE",518
"4","BURGLARY",265
"5","DECEPTIVE PRACTICE",259
"6","MOTOR VEHICLE THEFT",255
"7","ASSAULT",225
"8","OTHER OFFENSE",204
"9","ROBBERY",157
"10","CRIMINAL TRESPASS",100
"11","NARCOTICS",76
"12","OFFENSE INVOLVING CHILDREN",30
"13","PUBLIC PEACE VIOLATION",23
"14","WEAPONS VIOLATION",22
"15","CRIM SEXUAL ASSAULT",20
"16","SEX OFFENSE",15
"17","ARSON",11
"18","INTERFERENCE WITH PUBLIC OFFICER",5
"19","HOMICIDE",4
"20","KIDNAPPING",3
"21","LIQUOR LAW VIOLATION",3
"22","INTIMIDATION",1
"23","CONCEALED CARRY LICENSE VIOLATION",0
"24","GAMBLING",0
"25","HUMAN TRAFFICKING",0
"26","NON - CRIMINAL",0
"27","NON-CRIMINAL",0
"28","NON-CRIMINAL (SUBJECT SPECIFIED)",0
"29","OBSCENITY",0
"30","OTHER NARCOTIC VIOLATION",0
"31","PROSTITUTION",0
"32","PUBLIC INDECENCY",0
"33","STALKING",0
