"","Crime Type","Occurrence"
"1","THEFT",3729
"2","DECEPTIVE PRACTICE",1130
"3","BATTERY",967
"4","CRIMINAL DAMAGE",509
"5","ASSAULT",307
"6","ROBBERY",235
"7","OTHER OFFENSE",234
"8","MOTOR VEHICLE THEFT",209
"9","CRIMINAL TRESPASS",200
"10","BURGLARY",155
"11","NARCOTICS",101
"12","CRIM SEXUAL ASSAULT",67
"13","PUBLIC PEACE VIOLATION",31
"14","WEAPONS VIOLATION",31
"15","LIQUOR LAW VIOLATION",28
"16","SEX OFFENSE",22
"17","OFFENSE INVOLVING CHILDREN",20
"18","PROSTITUTION",13
"19","INTERFERENCE WITH PUBLIC OFFICER",12
"20","STALKING",5
"21","ARSON",4
"22","KIDNAPPING",4
"23","HOMICIDE",3
"24","CONCEALED CARRY LICENSE VIOLATION",2
"25","GAMBLING",2
"26","INTIMIDATION",2
"27","NON-CRIMINAL",2
"28","HUMAN TRAFFICKING",0
"29","NON - CRIMINAL",0
"30","NON-CRIMINAL (SUBJECT SPECIFIED)",0
"31","OBSCENITY",0
"32","OTHER NARCOTIC VIOLATION",0
"33","PUBLIC INDECENCY",0
