"","Crime Type","Occurrence"
"1","THEFT",159
"2","BATTERY",115
"3","CRIMINAL DAMAGE",92
"4","ASSAULT",49
"5","BURGLARY",46
"6","DECEPTIVE PRACTICE",42
"7","MOTOR VEHICLE THEFT",41
"8","OTHER OFFENSE",35
"9","NARCOTICS",25
"10","ROBBERY",19
"11","CRIMINAL TRESPASS",12
"12","WEAPONS VIOLATION",10
"13","PUBLIC PEACE VIOLATION",5
"14","CRIM SEXUAL ASSAULT",4
"15","OFFENSE INVOLVING CHILDREN",4
"16","ARSON",3
"17","HOMICIDE",2
"18","SEX OFFENSE",2
"19","INTERFERENCE WITH PUBLIC OFFICER",1
"20","NON-CRIMINAL",1
"21","PROSTITUTION",1
"22","STALKING",1
"23","CONCEALED CARRY LICENSE VIOLATION",0
"24","GAMBLING",0
"25","HUMAN TRAFFICKING",0
"26","INTIMIDATION",0
"27","KIDNAPPING",0
"28","LIQUOR LAW VIOLATION",0
"29","NON - CRIMINAL",0
"30","NON-CRIMINAL (SUBJECT SPECIFIED)",0
"31","OBSCENITY",0
"32","OTHER NARCOTIC VIOLATION",0
"33","PUBLIC INDECENCY",0
