"","Crime Type","Occurrence"
"1","THEFT",312
"2","BATTERY",287
"3","CRIMINAL DAMAGE",196
"4","ASSAULT",147
"5","OTHER OFFENSE",107
"6","DECEPTIVE PRACTICE",76
"7","BURGLARY",60
"8","MOTOR VEHICLE THEFT",59
"9","ROBBERY",50
"10","CRIMINAL TRESPASS",48
"11","NARCOTICS",47
"12","WEAPONS VIOLATION",23
"13","OFFENSE INVOLVING CHILDREN",14
"14","PUBLIC PEACE VIOLATION",10
"15","INTERFERENCE WITH PUBLIC OFFICER",7
"16","CRIM SEXUAL ASSAULT",4
"17","SEX OFFENSE",4
"18","ARSON",3
"19","HOMICIDE",2
"20","KIDNAPPING",2
"21","LIQUOR LAW VIOLATION",2
"22","STALKING",2
"23","CONCEALED CARRY LICENSE VIOLATION",0
"24","GAMBLING",0
"25","HUMAN TRAFFICKING",0
"26","INTIMIDATION",0
"27","NON - CRIMINAL",0
"28","NON-CRIMINAL",0
"29","NON-CRIMINAL (SUBJECT SPECIFIED)",0
"30","OBSCENITY",0
"31","OTHER NARCOTIC VIOLATION",0
"32","PROSTITUTION",0
"33","PUBLIC INDECENCY",0
