"","Crime Type","Occurrence"
"1","BATTERY",863
"2","THEFT",588
"3","CRIMINAL DAMAGE",456
"4","ASSAULT",326
"5","OTHER OFFENSE",283
"6","MOTOR VEHICLE THEFT",201
"7","ROBBERY",189
"8","DECEPTIVE PRACTICE",188
"9","BURGLARY",150
"10","NARCOTICS",145
"11","CRIMINAL TRESPASS",58
"12","WEAPONS VIOLATION",56
"13","PUBLIC PEACE VIOLATION",49
"14","OFFENSE INVOLVING CHILDREN",35
"15","SEX OFFENSE",31
"16","LIQUOR LAW VIOLATION",22
"17","CRIM SEXUAL ASSAULT",21
"18","ARSON",20
"19","INTERFERENCE WITH PUBLIC OFFICER",10
"20","HOMICIDE",9
"21","INTIMIDATION",4
"22","STALKING",3
"23","KIDNAPPING",2
"24","NON-CRIMINAL",1
"25","OBSCENITY",1
"26","CONCEALED CARRY LICENSE VIOLATION",0
"27","GAMBLING",0
"28","HUMAN TRAFFICKING",0
"29","NON - CRIMINAL",0
"30","NON-CRIMINAL (SUBJECT SPECIFIED)",0
"31","OTHER NARCOTIC VIOLATION",0
"32","PROSTITUTION",0
"33","PUBLIC INDECENCY",0
