"","Crime Type","Occurrence"
"1","BATTERY",1763
"2","CRIMINAL DAMAGE",816
"3","NARCOTICS",780
"4","THEFT",727
"5","ASSAULT",529
"6","OTHER OFFENSE",469
"7","ROBBERY",318
"8","MOTOR VEHICLE THEFT",257
"9","BURGLARY",227
"10","DECEPTIVE PRACTICE",195
"11","WEAPONS VIOLATION",157
"12","CRIMINAL TRESPASS",133
"13","PUBLIC PEACE VIOLATION",74
"14","OFFENSE INVOLVING CHILDREN",57
"15","CRIM SEXUAL ASSAULT",39
"16","INTERFERENCE WITH PUBLIC OFFICER",26
"17","HOMICIDE",23
"18","PROSTITUTION",19
"19","GAMBLING",16
"20","SEX OFFENSE",15
"21","ARSON",14
"22","LIQUOR LAW VIOLATION",6
"23","STALKING",6
"24","OBSCENITY",3
"25","NON-CRIMINAL",1
"26","CONCEALED CARRY LICENSE VIOLATION",0
"27","HUMAN TRAFFICKING",0
"28","INTIMIDATION",0
"29","KIDNAPPING",0
"30","NON - CRIMINAL",0
"31","NON-CRIMINAL (SUBJECT SPECIFIED)",0
"32","OTHER NARCOTIC VIOLATION",0
"33","PUBLIC INDECENCY",0
