"","Crime Type","Occurrence"
"1","THEFT",252
"2","BATTERY",220
"3","CRIMINAL DAMAGE",206
"4","BURGLARY",139
"5","OTHER OFFENSE",114
"6","ASSAULT",99
"7","DECEPTIVE PRACTICE",98
"8","MOTOR VEHICLE THEFT",64
"9","CRIMINAL TRESPASS",48
"10","ROBBERY",41
"11","NARCOTICS",36
"12","OFFENSE INVOLVING CHILDREN",15
"13","CRIM SEXUAL ASSAULT",9
"14","PUBLIC PEACE VIOLATION",6
"15","SEX OFFENSE",6
"16","WEAPONS VIOLATION",6
"17","ARSON",5
"18","KIDNAPPING",4
"19","GAMBLING",3
"20","INTERFERENCE WITH PUBLIC OFFICER",2
"21","LIQUOR LAW VIOLATION",1
"22","NON-CRIMINAL",1
"23","STALKING",1
"24","CONCEALED CARRY LICENSE VIOLATION",0
"25","HOMICIDE",0
"26","HUMAN TRAFFICKING",0
"27","INTIMIDATION",0
"28","NON - CRIMINAL",0
"29","NON-CRIMINAL (SUBJECT SPECIFIED)",0
"30","OBSCENITY",0
"31","OTHER NARCOTIC VIOLATION",0
"32","PROSTITUTION",0
"33","PUBLIC INDECENCY",0
