"","Crime Type","Occurrence"
"1","THEFT",217
"2","BATTERY",111
"3","CRIMINAL DAMAGE",101
"4","DECEPTIVE PRACTICE",65
"5","ASSAULT",61
"6","OTHER OFFENSE",60
"7","BURGLARY",59
"8","MOTOR VEHICLE THEFT",40
"9","CRIMINAL TRESPASS",29
"10","ROBBERY",19
"11","NARCOTICS",18
"12","OFFENSE INVOLVING CHILDREN",6
"13","SEX OFFENSE",6
"14","KIDNAPPING",5
"15","PUBLIC PEACE VIOLATION",3
"16","STALKING",3
"17","CRIM SEXUAL ASSAULT",2
"18","INTERFERENCE WITH PUBLIC OFFICER",2
"19","NON-CRIMINAL",1
"20","ARSON",0
"21","CONCEALED CARRY LICENSE VIOLATION",0
"22","GAMBLING",0
"23","HOMICIDE",0
"24","HUMAN TRAFFICKING",0
"25","INTIMIDATION",0
"26","LIQUOR LAW VIOLATION",0
"27","NON - CRIMINAL",0
"28","NON-CRIMINAL (SUBJECT SPECIFIED)",0
"29","OBSCENITY",0
"30","OTHER NARCOTIC VIOLATION",0
"31","PROSTITUTION",0
"32","PUBLIC INDECENCY",0
"33","WEAPONS VIOLATION",0
