"","Crime Type","Occurrence"
"1","BATTERY",480
"2","THEFT",439
"3","CRIMINAL DAMAGE",362
"4","OTHER OFFENSE",235
"5","ASSAULT",180
"6","DECEPTIVE PRACTICE",140
"7","BURGLARY",134
"8","MOTOR VEHICLE THEFT",129
"9","ROBBERY",120
"10","NARCOTICS",107
"11","CRIMINAL TRESPASS",84
"12","OFFENSE INVOLVING CHILDREN",49
"13","WEAPONS VIOLATION",43
"14","PUBLIC PEACE VIOLATION",15
"15","HOMICIDE",13
"16","INTERFERENCE WITH PUBLIC OFFICER",10
"17","CRIM SEXUAL ASSAULT",6
"18","KIDNAPPING",6
"19","SEX OFFENSE",3
"20","ARSON",1
"21","INTIMIDATION",1
"22","STALKING",1
"23","CONCEALED CARRY LICENSE VIOLATION",0
"24","GAMBLING",0
"25","HUMAN TRAFFICKING",0
"26","LIQUOR LAW VIOLATION",0
"27","NON - CRIMINAL",0
"28","NON-CRIMINAL",0
"29","NON-CRIMINAL (SUBJECT SPECIFIED)",0
"30","OBSCENITY",0
"31","OTHER NARCOTIC VIOLATION",0
"32","PROSTITUTION",0
"33","PUBLIC INDECENCY",0
