"","Crime Type","Occurrence"
"1","BATTERY",1048
"2","THEFT",695
"3","CRIMINAL DAMAGE",622
"4","BURGLARY",363
"5","ASSAULT",358
"6","OTHER OFFENSE",313
"7","ROBBERY",200
"8","DECEPTIVE PRACTICE",197
"9","MOTOR VEHICLE THEFT",190
"10","NARCOTICS",184
"11","CRIMINAL TRESPASS",86
"12","WEAPONS VIOLATION",78
"13","OFFENSE INVOLVING CHILDREN",61
"14","PUBLIC PEACE VIOLATION",25
"15","ARSON",18
"16","CRIM SEXUAL ASSAULT",18
"17","SEX OFFENSE",17
"18","GAMBLING",16
"19","HOMICIDE",15
"20","INTERFERENCE WITH PUBLIC OFFICER",15
"21","LIQUOR LAW VIOLATION",6
"22","KIDNAPPING",2
"23","NON-CRIMINAL",2
"24","INTIMIDATION",1
"25","OBSCENITY",1
"26","PROSTITUTION",1
"27","CONCEALED CARRY LICENSE VIOLATION",0
"28","HUMAN TRAFFICKING",0
"29","NON - CRIMINAL",0
"30","NON-CRIMINAL (SUBJECT SPECIFIED)",0
"31","OTHER NARCOTIC VIOLATION",0
"32","PUBLIC INDECENCY",0
"33","STALKING",0
