"","Crime Type","Occurrence"
"1","BATTERY",1290
"2","THEFT",620
"3","CRIMINAL DAMAGE",525
"4","ASSAULT",487
"5","OTHER OFFENSE",406
"6","NARCOTICS",351
"7","ROBBERY",231
"8","BURGLARY",228
"9","MOTOR VEHICLE THEFT",174
"10","DECEPTIVE PRACTICE",166
"11","CRIMINAL TRESPASS",138
"12","WEAPONS VIOLATION",123
"13","PUBLIC PEACE VIOLATION",55
"14","HOMICIDE",41
"15","INTERFERENCE WITH PUBLIC OFFICER",38
"16","OFFENSE INVOLVING CHILDREN",30
"17","CRIM SEXUAL ASSAULT",22
"18","SEX OFFENSE",17
"19","GAMBLING",10
"20","ARSON",9
"21","PROSTITUTION",6
"22","KIDNAPPING",5
"23","STALKING",5
"24","CONCEALED CARRY LICENSE VIOLATION",2
"25","INTIMIDATION",2
"26","HUMAN TRAFFICKING",1
"27","LIQUOR LAW VIOLATION",1
"28","OBSCENITY",1
"29","NON - CRIMINAL",0
"30","NON-CRIMINAL",0
"31","NON-CRIMINAL (SUBJECT SPECIFIED)",0
"32","OTHER NARCOTIC VIOLATION",0
"33","PUBLIC INDECENCY",0
