"","Crime Type","Occurrence"
"1","BATTERY",2991
"2","THEFT",1736
"3","CRIMINAL DAMAGE",1446
"4","NARCOTICS",1387
"5","ASSAULT",1004
"6","OTHER OFFENSE",933
"7","ROBBERY",670
"8","MOTOR VEHICLE THEFT",560
"9","DECEPTIVE PRACTICE",496
"10","BURGLARY",388
"11","PROSTITUTION",312
"12","WEAPONS VIOLATION",245
"13","CRIMINAL TRESPASS",244
"14","OFFENSE INVOLVING CHILDREN",122
"15","PUBLIC PEACE VIOLATION",101
"16","INTERFERENCE WITH PUBLIC OFFICER",72
"17","HOMICIDE",64
"18","CRIM SEXUAL ASSAULT",62
"19","GAMBLING",39
"20","ARSON",37
"21","SEX OFFENSE",33
"22","KIDNAPPING",3
"23","LIQUOR LAW VIOLATION",3
"24","STALKING",2
"25","CONCEALED CARRY LICENSE VIOLATION",1
"26","HUMAN TRAFFICKING",1
"27","INTIMIDATION",1
"28","PUBLIC INDECENCY",1
"29","NON - CRIMINAL",0
"30","NON-CRIMINAL",0
"31","NON-CRIMINAL (SUBJECT SPECIFIED)",0
"32","OBSCENITY",0
"33","OTHER NARCOTIC VIOLATION",0
