"","Crime Type","Occurrence"
"1","BATTERY",311
"2","THEFT",299
"3","CRIMINAL DAMAGE",171
"4","DECEPTIVE PRACTICE",135
"5","ASSAULT",117
"6","OTHER OFFENSE",116
"7","BURGLARY",76
"8","NARCOTICS",54
"9","MOTOR VEHICLE THEFT",49
"10","ROBBERY",39
"11","CRIMINAL TRESPASS",34
"12","OFFENSE INVOLVING CHILDREN",23
"13","PUBLIC PEACE VIOLATION",17
"14","WEAPONS VIOLATION",16
"15","INTERFERENCE WITH PUBLIC OFFICER",4
"16","SEX OFFENSE",4
"17","KIDNAPPING",3
"18","ARSON",2
"19","HOMICIDE",2
"20","INTIMIDATION",2
"21","CRIM SEXUAL ASSAULT",1
"22","LIQUOR LAW VIOLATION",1
"23","CONCEALED CARRY LICENSE VIOLATION",0
"24","GAMBLING",0
"25","HUMAN TRAFFICKING",0
"26","NON - CRIMINAL",0
"27","NON-CRIMINAL",0
"28","NON-CRIMINAL (SUBJECT SPECIFIED)",0
"29","OBSCENITY",0
"30","OTHER NARCOTIC VIOLATION",0
"31","PROSTITUTION",0
"32","PUBLIC INDECENCY",0
"33","STALKING",0
