"","Crime Type","Occurrence"
"1","THEFT",414
"2","CRIMINAL DAMAGE",146
"3","BATTERY",136
"4","BURGLARY",127
"5","DECEPTIVE PRACTICE",124
"6","OTHER OFFENSE",75
"7","ROBBERY",67
"8","MOTOR VEHICLE THEFT",59
"9","ASSAULT",51
"10","CRIMINAL TRESPASS",32
"11","OFFENSE INVOLVING CHILDREN",7
"12","SEX OFFENSE",7
"13","CRIM SEXUAL ASSAULT",6
"14","NARCOTICS",5
"15","PUBLIC PEACE VIOLATION",5
"16","WEAPONS VIOLATION",5
"17","HOMICIDE",1
"18","INTIMIDATION",1
"19","ARSON",0
"20","CONCEALED CARRY LICENSE VIOLATION",0
"21","GAMBLING",0
"22","HUMAN TRAFFICKING",0
"23","INTERFERENCE WITH PUBLIC OFFICER",0
"24","KIDNAPPING",0
"25","LIQUOR LAW VIOLATION",0
"26","NON - CRIMINAL",0
"27","NON-CRIMINAL",0
"28","NON-CRIMINAL (SUBJECT SPECIFIED)",0
"29","OBSCENITY",0
"30","OTHER NARCOTIC VIOLATION",0
"31","PROSTITUTION",0
"32","PUBLIC INDECENCY",0
"33","STALKING",0
