"","Crime Type","Occurrence"
"1","THEFT",116
"2","BATTERY",93
"3","CRIMINAL DAMAGE",65
"4","DECEPTIVE PRACTICE",53
"5","OTHER OFFENSE",42
"6","BURGLARY",23
"7","ASSAULT",22
"8","NARCOTICS",11
"9","CRIMINAL TRESPASS",10
"10","MOTOR VEHICLE THEFT",8
"11","ROBBERY",8
"12","OFFENSE INVOLVING CHILDREN",6
"13","PUBLIC PEACE VIOLATION",4
"14","ARSON",2
"15","SEX OFFENSE",2
"16","INTERFERENCE WITH PUBLIC OFFICER",1
"17","INTIMIDATION",1
"18","KIDNAPPING",1
"19","CONCEALED CARRY LICENSE VIOLATION",0
"20","CRIM SEXUAL ASSAULT",0
"21","GAMBLING",0
"22","HOMICIDE",0
"23","HUMAN TRAFFICKING",0
"24","LIQUOR LAW VIOLATION",0
"25","NON - CRIMINAL",0
"26","NON-CRIMINAL",0
"27","NON-CRIMINAL (SUBJECT SPECIFIED)",0
"28","OBSCENITY",0
"29","OTHER NARCOTIC VIOLATION",0
"30","PROSTITUTION",0
"31","PUBLIC INDECENCY",0
"32","STALKING",0
"33","WEAPONS VIOLATION",0
