"","Crime Type","Occurrence"
"1","THEFT",346
"2","DECEPTIVE PRACTICE",146
"3","CRIMINAL DAMAGE",134
"4","BATTERY",93
"5","BURGLARY",85
"6","OTHER OFFENSE",48
"7","MOTOR VEHICLE THEFT",46
"8","ASSAULT",43
"9","ROBBERY",39
"10","CRIMINAL TRESPASS",30
"11","NARCOTICS",21
"12","PUBLIC PEACE VIOLATION",3
"13","WEAPONS VIOLATION",3
"14","INTIMIDATION",2
"15","LIQUOR LAW VIOLATION",2
"16","OFFENSE INVOLVING CHILDREN",2
"17","SEX OFFENSE",2
"18","CRIM SEXUAL ASSAULT",1
"19","INTERFERENCE WITH PUBLIC OFFICER",1
"20","KIDNAPPING",1
"21","OBSCENITY",1
"22","STALKING",1
"23","ARSON",0
"24","CONCEALED CARRY LICENSE VIOLATION",0
"25","GAMBLING",0
"26","HOMICIDE",0
"27","HUMAN TRAFFICKING",0
"28","NON - CRIMINAL",0
"29","NON-CRIMINAL",0
"30","NON-CRIMINAL (SUBJECT SPECIFIED)",0
"31","OTHER NARCOTIC VIOLATION",0
"32","PROSTITUTION",0
"33","PUBLIC INDECENCY",0
