"","Crime Type","Occurrence"
"1","THEFT",208
"2","BATTERY",206
"3","CRIMINAL DAMAGE",135
"4","OTHER OFFENSE",97
"5","ASSAULT",95
"6","DECEPTIVE PRACTICE",80
"7","BURGLARY",64
"8","MOTOR VEHICLE THEFT",64
"9","ROBBERY",48
"10","NARCOTICS",25
"11","CRIMINAL TRESPASS",16
"12","OFFENSE INVOLVING CHILDREN",12
"13","WEAPONS VIOLATION",11
"14","CRIM SEXUAL ASSAULT",4
"15","INTERFERENCE WITH PUBLIC OFFICER",4
"16","PUBLIC PEACE VIOLATION",3
"17","KIDNAPPING",2
"18","ARSON",1
"19","GAMBLING",1
"20","HOMICIDE",1
"21","INTIMIDATION",1
"22","LIQUOR LAW VIOLATION",1
"23","CONCEALED CARRY LICENSE VIOLATION",0
"24","HUMAN TRAFFICKING",0
"25","NON - CRIMINAL",0
"26","NON-CRIMINAL",0
"27","NON-CRIMINAL (SUBJECT SPECIFIED)",0
"28","OBSCENITY",0
"29","OTHER NARCOTIC VIOLATION",0
"30","PROSTITUTION",0
"31","PUBLIC INDECENCY",0
"32","SEX OFFENSE",0
"33","STALKING",0
