"","Crime Type","Occurrence"
"1","NARCOTICS",1101
"2","BATTERY",924
"3","THEFT",451
"4","CRIMINAL DAMAGE",412
"5","ROBBERY",267
"6","ASSAULT",263
"7","OTHER OFFENSE",216
"8","MOTOR VEHICLE THEFT",163
"9","PROSTITUTION",142
"10","DECEPTIVE PRACTICE",126
"11","BURGLARY",97
"12","WEAPONS VIOLATION",86
"13","CRIMINAL TRESPASS",78
"14","PUBLIC PEACE VIOLATION",43
"15","INTERFERENCE WITH PUBLIC OFFICER",42
"16","OFFENSE INVOLVING CHILDREN",34
"17","HOMICIDE",25
"18","CRIM SEXUAL ASSAULT",24
"19","SEX OFFENSE",9
"20","ARSON",8
"21","LIQUOR LAW VIOLATION",8
"22","GAMBLING",5
"23","INTIMIDATION",4
"24","STALKING",4
"25","KIDNAPPING",3
"26","CONCEALED CARRY LICENSE VIOLATION",2
"27","HUMAN TRAFFICKING",1
"28","NON - CRIMINAL",1
"29","OBSCENITY",1
"30","PUBLIC INDECENCY",1
"31","NON-CRIMINAL",0
"32","NON-CRIMINAL (SUBJECT SPECIFIED)",0
"33","OTHER NARCOTIC VIOLATION",0
