"","Crime Type","Occurrence"
"1","THEFT",809
"2","BATTERY",530
"3","DECEPTIVE PRACTICE",250
"4","CRIMINAL DAMAGE",241
"5","ASSAULT",196
"6","OTHER OFFENSE",150
"7","ROBBERY",114
"8","CRIMINAL TRESPASS",104
"9","MOTOR VEHICLE THEFT",93
"10","NARCOTICS",93
"11","BURGLARY",91
"12","WEAPONS VIOLATION",25
"13","CRIM SEXUAL ASSAULT",20
"14","PUBLIC PEACE VIOLATION",19
"15","OFFENSE INVOLVING CHILDREN",18
"16","SEX OFFENSE",16
"17","HOMICIDE",5
"18","NON-CRIMINAL",2
"19","ARSON",1
"20","GAMBLING",1
"21","INTERFERENCE WITH PUBLIC OFFICER",1
"22","KIDNAPPING",1
"23","LIQUOR LAW VIOLATION",1
"24","OBSCENITY",1
"25","CONCEALED CARRY LICENSE VIOLATION",0
"26","HUMAN TRAFFICKING",0
"27","INTIMIDATION",0
"28","NON - CRIMINAL",0
"29","NON-CRIMINAL (SUBJECT SPECIFIED)",0
"30","OTHER NARCOTIC VIOLATION",0
"31","PROSTITUTION",0
"32","PUBLIC INDECENCY",0
"33","STALKING",0
