"","Crime Type","Occurrence"
"1","BATTERY",867
"2","THEFT",593
"3","CRIMINAL DAMAGE",433
"4","ASSAULT",342
"5","OTHER OFFENSE",284
"6","NARCOTICS",250
"7","BURGLARY",233
"8","ROBBERY",191
"9","MOTOR VEHICLE THEFT",147
"10","DECEPTIVE PRACTICE",127
"11","WEAPONS VIOLATION",89
"12","CRIMINAL TRESPASS",69
"13","OFFENSE INVOLVING CHILDREN",51
"14","HOMICIDE",28
"15","CRIM SEXUAL ASSAULT",24
"16","PUBLIC PEACE VIOLATION",24
"17","INTERFERENCE WITH PUBLIC OFFICER",21
"18","SEX OFFENSE",19
"19","ARSON",12
"20","INTIMIDATION",5
"21","LIQUOR LAW VIOLATION",4
"22","GAMBLING",3
"23","KIDNAPPING",3
"24","STALKING",2
"25","OBSCENITY",1
"26","OTHER NARCOTIC VIOLATION",1
"27","PROSTITUTION",1
"28","CONCEALED CARRY LICENSE VIOLATION",0
"29","HUMAN TRAFFICKING",0
"30","NON - CRIMINAL",0
"31","NON-CRIMINAL",0
"32","NON-CRIMINAL (SUBJECT SPECIFIED)",0
"33","PUBLIC INDECENCY",0
