"","Crime Type","Occurrence"
"1","THEFT",196
"2","CRIMINAL DAMAGE",104
"3","BATTERY",83
"4","DECEPTIVE PRACTICE",69
"5","BURGLARY",62
"6","OTHER OFFENSE",62
"7","ASSAULT",42
"8","MOTOR VEHICLE THEFT",36
"9","CRIMINAL TRESPASS",23
"10","ROBBERY",17
"11","NARCOTICS",16
"12","WEAPONS VIOLATION",7
"13","SEX OFFENSE",6
"14","OFFENSE INVOLVING CHILDREN",5
"15","ARSON",1
"16","CRIM SEXUAL ASSAULT",1
"17","INTERFERENCE WITH PUBLIC OFFICER",1
"18","KIDNAPPING",1
"19","PUBLIC PEACE VIOLATION",1
"20","CONCEALED CARRY LICENSE VIOLATION",0
"21","GAMBLING",0
"22","HOMICIDE",0
"23","HUMAN TRAFFICKING",0
"24","INTIMIDATION",0
"25","LIQUOR LAW VIOLATION",0
"26","NON - CRIMINAL",0
"27","NON-CRIMINAL",0
"28","NON-CRIMINAL (SUBJECT SPECIFIED)",0
"29","OBSCENITY",0
"30","OTHER NARCOTIC VIOLATION",0
"31","PROSTITUTION",0
"32","PUBLIC INDECENCY",0
"33","STALKING",0
