"","Crime Type","Occurrence"
"1","BATTERY",428
"2","CRIMINAL DAMAGE",287
"3","THEFT",262
"4","BURGLARY",160
"5","ASSAULT",150
"6","OTHER OFFENSE",146
"7","NARCOTICS",141
"8","MOTOR VEHICLE THEFT",112
"9","ROBBERY",107
"10","DECEPTIVE PRACTICE",89
"11","WEAPONS VIOLATION",30
"12","CRIMINAL TRESPASS",29
"13","OFFENSE INVOLVING CHILDREN",25
"14","PROSTITUTION",22
"15","SEX OFFENSE",16
"16","PUBLIC PEACE VIOLATION",15
"17","CRIM SEXUAL ASSAULT",12
"18","ARSON",11
"19","HOMICIDE",7
"20","INTERFERENCE WITH PUBLIC OFFICER",7
"21","LIQUOR LAW VIOLATION",4
"22","STALKING",3
"23","INTIMIDATION",1
"24","KIDNAPPING",1
"25","OBSCENITY",1
"26","CONCEALED CARRY LICENSE VIOLATION",0
"27","GAMBLING",0
"28","HUMAN TRAFFICKING",0
"29","NON - CRIMINAL",0
"30","NON-CRIMINAL",0
"31","NON-CRIMINAL (SUBJECT SPECIFIED)",0
"32","OTHER NARCOTIC VIOLATION",0
"33","PUBLIC INDECENCY",0
