"","Crime Type","Occurrence"
"1","BATTERY",1346
"2","THEFT",693
"3","CRIMINAL DAMAGE",645
"4","ASSAULT",465
"5","OTHER OFFENSE",369
"6","NARCOTICS",364
"7","BURGLARY",346
"8","ROBBERY",267
"9","MOTOR VEHICLE THEFT",220
"10","DECEPTIVE PRACTICE",202
"11","WEAPONS VIOLATION",166
"12","CRIMINAL TRESPASS",134
"13","OFFENSE INVOLVING CHILDREN",48
"14","PUBLIC PEACE VIOLATION",43
"15","INTERFERENCE WITH PUBLIC OFFICER",35
"16","CRIM SEXUAL ASSAULT",33
"17","HOMICIDE",28
"18","ARSON",20
"19","GAMBLING",20
"20","SEX OFFENSE",18
"21","PROSTITUTION",15
"22","KIDNAPPING",3
"23","STALKING",3
"24","INTIMIDATION",2
"25","LIQUOR LAW VIOLATION",2
"26","CONCEALED CARRY LICENSE VIOLATION",1
"27","HUMAN TRAFFICKING",1
"28","NON - CRIMINAL",0
"29","NON-CRIMINAL",0
"30","NON-CRIMINAL (SUBJECT SPECIFIED)",0
"31","OBSCENITY",0
"32","OTHER NARCOTIC VIOLATION",0
"33","PUBLIC INDECENCY",0
