"","Crime Type","Occurrence"
"1","BATTERY",532
"2","THEFT",330
"3","CRIMINAL DAMAGE",279
"4","ASSAULT",181
"5","OTHER OFFENSE",148
"6","BURGLARY",134
"7","ROBBERY",134
"8","MOTOR VEHICLE THEFT",76
"9","NARCOTICS",74
"10","DECEPTIVE PRACTICE",66
"11","CRIMINAL TRESPASS",47
"12","WEAPONS VIOLATION",34
"13","PUBLIC PEACE VIOLATION",21
"14","OFFENSE INVOLVING CHILDREN",17
"15","HOMICIDE",9
"16","CRIM SEXUAL ASSAULT",7
"17","SEX OFFENSE",5
"18","INTERFERENCE WITH PUBLIC OFFICER",4
"19","GAMBLING",2
"20","INTIMIDATION",2
"21","ARSON",1
"22","KIDNAPPING",1
"23","LIQUOR LAW VIOLATION",1
"24","STALKING",1
"25","CONCEALED CARRY LICENSE VIOLATION",0
"26","HUMAN TRAFFICKING",0
"27","NON - CRIMINAL",0
"28","NON-CRIMINAL",0
"29","NON-CRIMINAL (SUBJECT SPECIFIED)",0
"30","OBSCENITY",0
"31","OTHER NARCOTIC VIOLATION",0
"32","PROSTITUTION",0
"33","PUBLIC INDECENCY",0
