"","Crime Type","Occurrence"
"1","THEFT",438
"2","CRIMINAL DAMAGE",298
"3","BATTERY",246
"4","BURGLARY",140
"5","OTHER OFFENSE",101
"6","DECEPTIVE PRACTICE",91
"7","ASSAULT",81
"8","MOTOR VEHICLE THEFT",68
"9","ROBBERY",67
"10","NARCOTICS",40
"11","CRIMINAL TRESPASS",25
"12","OFFENSE INVOLVING CHILDREN",23
"13","ARSON",9
"14","WEAPONS VIOLATION",7
"15","SEX OFFENSE",6
"16","HOMICIDE",4
"17","PUBLIC PEACE VIOLATION",4
"18","CRIM SEXUAL ASSAULT",3
"19","INTERFERENCE WITH PUBLIC OFFICER",2
"20","INTIMIDATION",2
"21","LIQUOR LAW VIOLATION",2
"22","OBSCENITY",2
"23","STALKING",2
"24","CONCEALED CARRY LICENSE VIOLATION",0
"25","GAMBLING",0
"26","HUMAN TRAFFICKING",0
"27","KIDNAPPING",0
"28","NON - CRIMINAL",0
"29","NON-CRIMINAL",0
"30","NON-CRIMINAL (SUBJECT SPECIFIED)",0
"31","OTHER NARCOTIC VIOLATION",0
"32","PROSTITUTION",0
"33","PUBLIC INDECENCY",0
