"","Crime Type","Occurrence"
"1","THEFT",249
"2","CRIMINAL DAMAGE",164
"3","BATTERY",140
"4","DECEPTIVE PRACTICE",117
"5","OTHER OFFENSE",79
"6","BURGLARY",69
"7","ASSAULT",60
"8","MOTOR VEHICLE THEFT",35
"9","CRIMINAL TRESPASS",28
"10","NARCOTICS",21
"11","ROBBERY",12
"12","OFFENSE INVOLVING CHILDREN",7
"13","KIDNAPPING",5
"14","PUBLIC PEACE VIOLATION",4
"15","SEX OFFENSE",3
"16","CRIM SEXUAL ASSAULT",2
"17","LIQUOR LAW VIOLATION",2
"18","STALKING",2
"19","HOMICIDE",1
"20","INTERFERENCE WITH PUBLIC OFFICER",1
"21","INTIMIDATION",1
"22","ARSON",0
"23","CONCEALED CARRY LICENSE VIOLATION",0
"24","GAMBLING",0
"25","HUMAN TRAFFICKING",0
"26","NON - CRIMINAL",0
"27","NON-CRIMINAL",0
"28","NON-CRIMINAL (SUBJECT SPECIFIED)",0
"29","OBSCENITY",0
"30","OTHER NARCOTIC VIOLATION",0
"31","PROSTITUTION",0
"32","PUBLIC INDECENCY",0
"33","WEAPONS VIOLATION",0
