"","Crime Type","Occurrence"
"1","THEFT",399
"2","DECEPTIVE PRACTICE",184
"3","BATTERY",126
"4","CRIMINAL TRESPASS",106
"5","OTHER OFFENSE",100
"6","CRIMINAL DAMAGE",94
"7","ASSAULT",59
"8","MOTOR VEHICLE THEFT",58
"9","NARCOTICS",45
"10","PUBLIC PEACE VIOLATION",22
"11","BURGLARY",18
"12","ROBBERY",12
"13","CONCEALED CARRY LICENSE VIOLATION",6
"14","CRIM SEXUAL ASSAULT",4
"15","SEX OFFENSE",3
"16","NON-CRIMINAL",2
"17","OFFENSE INVOLVING CHILDREN",2
"18","INTERFERENCE WITH PUBLIC OFFICER",1
"19","ARSON",0
"20","GAMBLING",0
"21","HOMICIDE",0
"22","HUMAN TRAFFICKING",0
"23","INTIMIDATION",0
"24","KIDNAPPING",0
"25","LIQUOR LAW VIOLATION",0
"26","NON - CRIMINAL",0
"27","NON-CRIMINAL (SUBJECT SPECIFIED)",0
"28","OBSCENITY",0
"29","OTHER NARCOTIC VIOLATION",0
"30","PROSTITUTION",0
"31","PUBLIC INDECENCY",0
"32","STALKING",0
"33","WEAPONS VIOLATION",0
