"","Crime Type","Occurrence"
"1","THEFT",256
"2","BATTERY",205
"3","CRIMINAL DAMAGE",125
"4","ASSAULT",79
"5","OTHER OFFENSE",68
"6","BURGLARY",66
"7","DECEPTIVE PRACTICE",66
"8","ROBBERY",64
"9","MOTOR VEHICLE THEFT",51
"10","CRIMINAL TRESPASS",23
"11","CRIM SEXUAL ASSAULT",9
"12","NARCOTICS",9
"13","OFFENSE INVOLVING CHILDREN",8
"14","SEX OFFENSE",6
"15","WEAPONS VIOLATION",6
"16","HOMICIDE",3
"17","ARSON",2
"18","INTIMIDATION",2
"19","PUBLIC PEACE VIOLATION",2
"20","CONCEALED CARRY LICENSE VIOLATION",0
"21","GAMBLING",0
"22","HUMAN TRAFFICKING",0
"23","INTERFERENCE WITH PUBLIC OFFICER",0
"24","KIDNAPPING",0
"25","LIQUOR LAW VIOLATION",0
"26","NON - CRIMINAL",0
"27","NON-CRIMINAL",0
"28","NON-CRIMINAL (SUBJECT SPECIFIED)",0
"29","OBSCENITY",0
"30","OTHER NARCOTIC VIOLATION",0
"31","PROSTITUTION",0
"32","PUBLIC INDECENCY",0
"33","STALKING",0
