"","Crime Type","Occurrence"
"1","THEFT",569
"2","BATTERY",436
"3","CRIMINAL DAMAGE",352
"4","OTHER OFFENSE",202
"5","DECEPTIVE PRACTICE",186
"6","ASSAULT",169
"7","BURGLARY",167
"8","MOTOR VEHICLE THEFT",127
"9","ROBBERY",72
"10","NARCOTICS",66
"11","CRIMINAL TRESPASS",56
"12","OFFENSE INVOLVING CHILDREN",29
"13","WEAPONS VIOLATION",15
"14","CRIM SEXUAL ASSAULT",14
"15","SEX OFFENSE",11
"16","PUBLIC PEACE VIOLATION",6
"17","INTERFERENCE WITH PUBLIC OFFICER",5
"18","ARSON",3
"19","INTIMIDATION",2
"20","LIQUOR LAW VIOLATION",2
"21","OBSCENITY",2
"22","HOMICIDE",1
"23","KIDNAPPING",1
"24","CONCEALED CARRY LICENSE VIOLATION",0
"25","GAMBLING",0
"26","HUMAN TRAFFICKING",0
"27","NON - CRIMINAL",0
"28","NON-CRIMINAL",0
"29","NON-CRIMINAL (SUBJECT SPECIFIED)",0
"30","OTHER NARCOTIC VIOLATION",0
"31","PROSTITUTION",0
"32","PUBLIC INDECENCY",0
"33","STALKING",0
