"","Crime Type","Occurrence"
"1","BATTERY",221
"2","THEFT",174
"3","CRIMINAL DAMAGE",172
"4","ASSAULT",101
"5","OTHER OFFENSE",84
"6","BURGLARY",52
"7","DECEPTIVE PRACTICE",51
"8","MOTOR VEHICLE THEFT",40
"9","NARCOTICS",40
"10","CRIMINAL TRESPASS",23
"11","OFFENSE INVOLVING CHILDREN",23
"12","ROBBERY",17
"13","WEAPONS VIOLATION",16
"14","PUBLIC PEACE VIOLATION",9
"15","SEX OFFENSE",4
"16","ARSON",3
"17","CRIM SEXUAL ASSAULT",1
"18","INTERFERENCE WITH PUBLIC OFFICER",1
"19","KIDNAPPING",1
"20","LIQUOR LAW VIOLATION",1
"21","CONCEALED CARRY LICENSE VIOLATION",0
"22","GAMBLING",0
"23","HOMICIDE",0
"24","HUMAN TRAFFICKING",0
"25","INTIMIDATION",0
"26","NON - CRIMINAL",0
"27","NON-CRIMINAL",0
"28","NON-CRIMINAL (SUBJECT SPECIFIED)",0
"29","OBSCENITY",0
"30","OTHER NARCOTIC VIOLATION",0
"31","PROSTITUTION",0
"32","PUBLIC INDECENCY",0
"33","STALKING",0
