"","Crime Type","Occurrence"
"1","THEFT",455
"2","BATTERY",307
"3","CRIMINAL DAMAGE",251
"4","MOTOR VEHICLE THEFT",131
"5","BURGLARY",118
"6","DECEPTIVE PRACTICE",114
"7","ASSAULT",111
"8","OTHER OFFENSE",85
"9","ROBBERY",63
"10","CRIMINAL TRESPASS",38
"11","NARCOTICS",23
"12","OFFENSE INVOLVING CHILDREN",13
"13","WEAPONS VIOLATION",13
"14","ARSON",7
"15","CRIM SEXUAL ASSAULT",7
"16","PUBLIC PEACE VIOLATION",6
"17","SEX OFFENSE",6
"18","HOMICIDE",3
"19","INTERFERENCE WITH PUBLIC OFFICER",2
"20","KIDNAPPING",2
"21","LIQUOR LAW VIOLATION",2
"22","OBSCENITY",1
"23","PROSTITUTION",1
"24","CONCEALED CARRY LICENSE VIOLATION",0
"25","GAMBLING",0
"26","HUMAN TRAFFICKING",0
"27","INTIMIDATION",0
"28","NON - CRIMINAL",0
"29","NON-CRIMINAL",0
"30","NON-CRIMINAL (SUBJECT SPECIFIED)",0
"31","OTHER NARCOTIC VIOLATION",0
"32","PUBLIC INDECENCY",0
"33","STALKING",0
