"","Crime Type","Occurrence"
"1","BATTERY",677
"2","THEFT",451
"3","CRIMINAL DAMAGE",325
"4","BURGLARY",249
"5","ASSAULT",238
"6","OTHER OFFENSE",228
"7","ROBBERY",134
"8","DECEPTIVE PRACTICE",125
"9","NARCOTICS",110
"10","MOTOR VEHICLE THEFT",107
"11","CRIMINAL TRESPASS",76
"12","WEAPONS VIOLATION",39
"13","OFFENSE INVOLVING CHILDREN",27
"14","PUBLIC PEACE VIOLATION",24
"15","SEX OFFENSE",18
"16","INTERFERENCE WITH PUBLIC OFFICER",17
"17","CRIM SEXUAL ASSAULT",14
"18","HOMICIDE",5
"19","KIDNAPPING",4
"20","ARSON",3
"21","GAMBLING",3
"22","STALKING",2
"23","HUMAN TRAFFICKING",1
"24","CONCEALED CARRY LICENSE VIOLATION",0
"25","INTIMIDATION",0
"26","LIQUOR LAW VIOLATION",0
"27","NON - CRIMINAL",0
"28","NON-CRIMINAL",0
"29","NON-CRIMINAL (SUBJECT SPECIFIED)",0
"30","OBSCENITY",0
"31","OTHER NARCOTIC VIOLATION",0
"32","PROSTITUTION",0
"33","PUBLIC INDECENCY",0
