"","Crime Type","Occurrence"
"1","BATTERY",890
"2","THEFT",525
"3","CRIMINAL DAMAGE",466
"4","ASSAULT",414
"5","OTHER OFFENSE",326
"6","BURGLARY",232
"7","ROBBERY",174
"8","NARCOTICS",155
"9","DECEPTIVE PRACTICE",136
"10","MOTOR VEHICLE THEFT",130
"11","CRIMINAL TRESPASS",96
"12","WEAPONS VIOLATION",64
"13","OFFENSE INVOLVING CHILDREN",54
"14","PUBLIC PEACE VIOLATION",24
"15","CRIM SEXUAL ASSAULT",19
"16","INTERFERENCE WITH PUBLIC OFFICER",19
"17","HOMICIDE",12
"18","SEX OFFENSE",8
"19","ARSON",6
"20","KIDNAPPING",4
"21","INTIMIDATION",3
"22","STALKING",2
"23","GAMBLING",1
"24","HUMAN TRAFFICKING",1
"25","LIQUOR LAW VIOLATION",1
"26","CONCEALED CARRY LICENSE VIOLATION",0
"27","NON - CRIMINAL",0
"28","NON-CRIMINAL",0
"29","NON-CRIMINAL (SUBJECT SPECIFIED)",0
"30","OBSCENITY",0
"31","OTHER NARCOTIC VIOLATION",0
"32","PROSTITUTION",0
"33","PUBLIC INDECENCY",0
