"","Crime Type","Occurrence"
"1","THEFT",3680
"2","DECEPTIVE PRACTICE",957
"3","BATTERY",610
"4","CRIMINAL DAMAGE",297
"5","ASSAULT",270
"6","ROBBERY",234
"7","CRIMINAL TRESPASS",223
"8","OTHER OFFENSE",203
"9","BURGLARY",94
"10","MOTOR VEHICLE THEFT",81
"11","NARCOTICS",74
"12","PUBLIC PEACE VIOLATION",47
"13","CRIM SEXUAL ASSAULT",34
"14","SEX OFFENSE",26
"15","WEAPONS VIOLATION",10
"16","INTERFERENCE WITH PUBLIC OFFICER",8
"17","OFFENSE INVOLVING CHILDREN",8
"18","LIQUOR LAW VIOLATION",6
"19","PROSTITUTION",6
"20","STALKING",5
"21","NON-CRIMINAL",4
"22","KIDNAPPING",3
"23","PUBLIC INDECENCY",3
"24","HOMICIDE",2
"25","ARSON",1
"26","HUMAN TRAFFICKING",1
"27","INTIMIDATION",1
"28","CONCEALED CARRY LICENSE VIOLATION",0
"29","GAMBLING",0
"30","NON - CRIMINAL",0
"31","NON-CRIMINAL (SUBJECT SPECIFIED)",0
"32","OBSCENITY",0
"33","OTHER NARCOTIC VIOLATION",0
