"","Crime Type","Occurrence"
"1","THEFT",295
"2","CRIMINAL DAMAGE",226
"3","BATTERY",213
"4","ASSAULT",101
"5","OTHER OFFENSE",91
"6","DECEPTIVE PRACTICE",90
"7","BURGLARY",81
"8","ROBBERY",52
"9","MOTOR VEHICLE THEFT",40
"10","NARCOTICS",39
"11","CRIMINAL TRESPASS",34
"12","WEAPONS VIOLATION",12
"13","PUBLIC PEACE VIOLATION",6
"14","SEX OFFENSE",6
"15","INTERFERENCE WITH PUBLIC OFFICER",5
"16","INTIMIDATION",3
"17","LIQUOR LAW VIOLATION",3
"18","OFFENSE INVOLVING CHILDREN",3
"19","PROSTITUTION",3
"20","HOMICIDE",2
"21","ARSON",1
"22","CRIM SEXUAL ASSAULT",1
"23","KIDNAPPING",1
"24","NON - CRIMINAL",1
"25","NON-CRIMINAL",1
"26","OBSCENITY",1
"27","STALKING",1
"28","CONCEALED CARRY LICENSE VIOLATION",0
"29","GAMBLING",0
"30","HUMAN TRAFFICKING",0
"31","NON-CRIMINAL (SUBJECT SPECIFIED)",0
"32","OTHER NARCOTIC VIOLATION",0
"33","PUBLIC INDECENCY",0
