"","Crime Type","Occurrence"
"1","BATTERY",675
"2","CRIMINAL DAMAGE",484
"3","THEFT",392
"4","ASSAULT",280
"5","OTHER OFFENSE",256
"6","BURGLARY",173
"7","NARCOTICS",128
"8","MOTOR VEHICLE THEFT",127
"9","DECEPTIVE PRACTICE",124
"10","ROBBERY",116
"11","WEAPONS VIOLATION",91
"12","CRIMINAL TRESPASS",57
"13","OFFENSE INVOLVING CHILDREN",30
"14","CRIM SEXUAL ASSAULT",25
"15","INTERFERENCE WITH PUBLIC OFFICER",18
"16","PUBLIC PEACE VIOLATION",17
"17","ARSON",13
"18","SEX OFFENSE",12
"19","HOMICIDE",8
"20","PROSTITUTION",7
"21","KIDNAPPING",3
"22","STALKING",3
"23","LIQUOR LAW VIOLATION",2
"24","INTIMIDATION",1
"25","CONCEALED CARRY LICENSE VIOLATION",0
"26","GAMBLING",0
"27","HUMAN TRAFFICKING",0
"28","NON - CRIMINAL",0
"29","NON-CRIMINAL",0
"30","NON-CRIMINAL (SUBJECT SPECIFIED)",0
"31","OBSCENITY",0
"32","OTHER NARCOTIC VIOLATION",0
"33","PUBLIC INDECENCY",0
