"","Crime Type","Occurrence"
"1","THEFT",400
"2","BATTERY",222
"3","CRIMINAL DAMAGE",193
"4","DECEPTIVE PRACTICE",182
"5","OTHER OFFENSE",92
"6","BURGLARY",80
"7","ASSAULT",78
"8","MOTOR VEHICLE THEFT",70
"9","CRIMINAL TRESPASS",40
"10","ROBBERY",40
"11","NARCOTICS",31
"12","CRIM SEXUAL ASSAULT",17
"13","WEAPONS VIOLATION",16
"14","OFFENSE INVOLVING CHILDREN",10
"15","PUBLIC PEACE VIOLATION",6
"16","SEX OFFENSE",6
"17","INTERFERENCE WITH PUBLIC OFFICER",4
"18","KIDNAPPING",4
"19","LIQUOR LAW VIOLATION",2
"20","CONCEALED CARRY LICENSE VIOLATION",1
"21","GAMBLING",1
"22","HOMICIDE",1
"23","INTIMIDATION",1
"24","NON-CRIMINAL",1
"25","OBSCENITY",1
"26","STALKING",1
"27","ARSON",0
"28","HUMAN TRAFFICKING",0
"29","NON - CRIMINAL",0
"30","NON-CRIMINAL (SUBJECT SPECIFIED)",0
"31","OTHER NARCOTIC VIOLATION",0
"32","PROSTITUTION",0
"33","PUBLIC INDECENCY",0
