"","Crime Type","Occurrence"
"1","BATTERY",992
"2","NARCOTICS",553
"3","THEFT",503
"4","CRIMINAL DAMAGE",403
"5","ASSAULT",337
"6","OTHER OFFENSE",266
"7","ROBBERY",174
"8","MOTOR VEHICLE THEFT",163
"9","WEAPONS VIOLATION",98
"10","DECEPTIVE PRACTICE",93
"11","BURGLARY",91
"12","CRIMINAL TRESPASS",87
"13","PUBLIC PEACE VIOLATION",42
"14","OFFENSE INVOLVING CHILDREN",29
"15","INTERFERENCE WITH PUBLIC OFFICER",23
"16","CRIM SEXUAL ASSAULT",21
"17","HOMICIDE",17
"18","SEX OFFENSE",15
"19","GAMBLING",12
"20","ARSON",7
"21","KIDNAPPING",3
"22","PROSTITUTION",2
"23","STALKING",2
"24","INTIMIDATION",1
"25","LIQUOR LAW VIOLATION",1
"26","OBSCENITY",1
"27","CONCEALED CARRY LICENSE VIOLATION",0
"28","HUMAN TRAFFICKING",0
"29","NON - CRIMINAL",0
"30","NON-CRIMINAL",0
"31","NON-CRIMINAL (SUBJECT SPECIFIED)",0
"32","OTHER NARCOTIC VIOLATION",0
"33","PUBLIC INDECENCY",0
