"","Crime Type","Occurrence"
"1","BATTERY",103
"2","THEFT",99
"3","CRIMINAL DAMAGE",74
"4","OTHER OFFENSE",51
"5","DECEPTIVE PRACTICE",45
"6","BURGLARY",38
"7","MOTOR VEHICLE THEFT",33
"8","ASSAULT",28
"9","ROBBERY",12
"10","CRIMINAL TRESPASS",9
"11","NARCOTICS",6
"12","OFFENSE INVOLVING CHILDREN",4
"13","PUBLIC PEACE VIOLATION",4
"14","ARSON",1
"15","INTERFERENCE WITH PUBLIC OFFICER",1
"16","SEX OFFENSE",1
"17","WEAPONS VIOLATION",1
"18","CONCEALED CARRY LICENSE VIOLATION",0
"19","CRIM SEXUAL ASSAULT",0
"20","GAMBLING",0
"21","HOMICIDE",0
"22","HUMAN TRAFFICKING",0
"23","INTIMIDATION",0
"24","KIDNAPPING",0
"25","LIQUOR LAW VIOLATION",0
"26","NON - CRIMINAL",0
"27","NON-CRIMINAL",0
"28","NON-CRIMINAL (SUBJECT SPECIFIED)",0
"29","OBSCENITY",0
"30","OTHER NARCOTIC VIOLATION",0
"31","PROSTITUTION",0
"32","PUBLIC INDECENCY",0
"33","STALKING",0
