"","Crime Type","Occurrence"
"1","THEFT",2442
"2","CRIMINAL DAMAGE",798
"3","BATTERY",797
"4","BURGLARY",396
"5","DECEPTIVE PRACTICE",359
"6","MOTOR VEHICLE THEFT",330
"7","ASSAULT",315
"8","ROBBERY",291
"9","OTHER OFFENSE",193
"10","CRIMINAL TRESPASS",142
"11","NARCOTICS",72
"12","WEAPONS VIOLATION",22
"13","CRIM SEXUAL ASSAULT",21
"14","SEX OFFENSE",18
"15","OFFENSE INVOLVING CHILDREN",17
"16","PUBLIC PEACE VIOLATION",13
"17","LIQUOR LAW VIOLATION",8
"18","STALKING",8
"19","INTERFERENCE WITH PUBLIC OFFICER",7
"20","HOMICIDE",5
"21","PROSTITUTION",4
"22","ARSON",2
"23","INTIMIDATION",2
"24","KIDNAPPING",2
"25","OBSCENITY",2
"26","NON-CRIMINAL",1
"27","CONCEALED CARRY LICENSE VIOLATION",0
"28","GAMBLING",0
"29","HUMAN TRAFFICKING",0
"30","NON - CRIMINAL",0
"31","NON-CRIMINAL (SUBJECT SPECIFIED)",0
"32","OTHER NARCOTIC VIOLATION",0
"33","PUBLIC INDECENCY",0
