"","Crime Type","Occurrence"
"1","THEFT",734
"2","BATTERY",711
"3","CRIMINAL DAMAGE",468
"4","OTHER OFFENSE",293
"5","ASSAULT",275
"6","BURGLARY",226
"7","DECEPTIVE PRACTICE",203
"8","MOTOR VEHICLE THEFT",199
"9","ROBBERY",138
"10","NARCOTICS",119
"11","CRIMINAL TRESPASS",85
"12","WEAPONS VIOLATION",54
"13","OFFENSE INVOLVING CHILDREN",53
"14","INTERFERENCE WITH PUBLIC OFFICER",19
"15","ARSON",16
"16","CRIM SEXUAL ASSAULT",16
"17","SEX OFFENSE",16
"18","PUBLIC PEACE VIOLATION",12
"19","KIDNAPPING",8
"20","INTIMIDATION",7
"21","HOMICIDE",5
"22","LIQUOR LAW VIOLATION",3
"23","PROSTITUTION",3
"24","NON-CRIMINAL",2
"25","STALKING",2
"26","CONCEALED CARRY LICENSE VIOLATION",1
"27","OBSCENITY",1
"28","GAMBLING",0
"29","HUMAN TRAFFICKING",0
"30","NON - CRIMINAL",0
"31","NON-CRIMINAL (SUBJECT SPECIFIED)",0
"32","OTHER NARCOTIC VIOLATION",0
"33","PUBLIC INDECENCY",0
