"","Crime Type","Occurrence"
"1","THEFT",114
"2","CRIMINAL DAMAGE",60
"3","BURGLARY",59
"4","BATTERY",50
"5","DECEPTIVE PRACTICE",45
"6","OTHER OFFENSE",36
"7","ASSAULT",24
"8","MOTOR VEHICLE THEFT",20
"9","CRIMINAL TRESPASS",17
"10","NARCOTICS",6
"11","ROBBERY",6
"12","SEX OFFENSE",2
"13","NON-CRIMINAL",1
"14","OFFENSE INVOLVING CHILDREN",1
"15","PUBLIC PEACE VIOLATION",1
"16","WEAPONS VIOLATION",1
"17","ARSON",0
"18","CONCEALED CARRY LICENSE VIOLATION",0
"19","CRIM SEXUAL ASSAULT",0
"20","GAMBLING",0
"21","HOMICIDE",0
"22","HUMAN TRAFFICKING",0
"23","INTERFERENCE WITH PUBLIC OFFICER",0
"24","INTIMIDATION",0
"25","KIDNAPPING",0
"26","LIQUOR LAW VIOLATION",0
"27","NON - CRIMINAL",0
"28","NON-CRIMINAL (SUBJECT SPECIFIED)",0
"29","OBSCENITY",0
"30","OTHER NARCOTIC VIOLATION",0
"31","PROSTITUTION",0
"32","PUBLIC INDECENCY",0
"33","STALKING",0
