"","Crime Type","Occurrence"
"1","THEFT",192
"2","CRIMINAL DAMAGE",137
"3","BATTERY",103
"4","BURGLARY",95
"5","DECEPTIVE PRACTICE",59
"6","OTHER OFFENSE",53
"7","ROBBERY",47
"8","MOTOR VEHICLE THEFT",45
"9","ASSAULT",42
"10","CRIMINAL TRESPASS",21
"11","NARCOTICS",15
"12","WEAPONS VIOLATION",9
"13","OFFENSE INVOLVING CHILDREN",8
"14","PUBLIC PEACE VIOLATION",7
"15","HOMICIDE",4
"16","ARSON",3
"17","SEX OFFENSE",2
"18","CRIM SEXUAL ASSAULT",1
"19","INTERFERENCE WITH PUBLIC OFFICER",1
"20","INTIMIDATION",1
"21","KIDNAPPING",1
"22","OBSCENITY",1
"23","PUBLIC INDECENCY",1
"24","STALKING",1
"25","CONCEALED CARRY LICENSE VIOLATION",0
"26","GAMBLING",0
"27","HUMAN TRAFFICKING",0
"28","LIQUOR LAW VIOLATION",0
"29","NON - CRIMINAL",0
"30","NON-CRIMINAL",0
"31","NON-CRIMINAL (SUBJECT SPECIFIED)",0
"32","OTHER NARCOTIC VIOLATION",0
"33","PROSTITUTION",0
