"","Crime Type","Occurrence"
"1","THEFT",402
"2","CRIMINAL DAMAGE",279
"3","BATTERY",210
"4","DECEPTIVE PRACTICE",169
"5","BURGLARY",119
"6","ASSAULT",102
"7","OTHER OFFENSE",86
"8","MOTOR VEHICLE THEFT",78
"9","NARCOTICS",40
"10","CRIMINAL TRESPASS",37
"11","ROBBERY",36
"12","PROSTITUTION",15
"13","OFFENSE INVOLVING CHILDREN",14
"14","PUBLIC PEACE VIOLATION",14
"15","CRIM SEXUAL ASSAULT",13
"16","SEX OFFENSE",7
"17","INTERFERENCE WITH PUBLIC OFFICER",6
"18","ARSON",5
"19","CONCEALED CARRY LICENSE VIOLATION",5
"20","WEAPONS VIOLATION",3
"21","HOMICIDE",1
"22","INTIMIDATION",1
"23","KIDNAPPING",1
"24","NON-CRIMINAL",1
"25","OBSCENITY",1
"26","GAMBLING",0
"27","HUMAN TRAFFICKING",0
"28","LIQUOR LAW VIOLATION",0
"29","NON - CRIMINAL",0
"30","NON-CRIMINAL (SUBJECT SPECIFIED)",0
"31","OTHER NARCOTIC VIOLATION",0
"32","PUBLIC INDECENCY",0
"33","STALKING",0
