"","Crime Type","Occurrence"
"1","THEFT",568
"2","BATTERY",298
"3","DECEPTIVE PRACTICE",197
"4","CRIMINAL DAMAGE",164
"5","OTHER OFFENSE",112
"6","ASSAULT",111
"7","BURGLARY",107
"8","MOTOR VEHICLE THEFT",78
"9","ROBBERY",64
"10","CRIMINAL TRESPASS",45
"11","NARCOTICS",37
"12","CRIM SEXUAL ASSAULT",24
"13","WEAPONS VIOLATION",16
"14","OFFENSE INVOLVING CHILDREN",11
"15","SEX OFFENSE",9
"16","PUBLIC PEACE VIOLATION",7
"17","INTERFERENCE WITH PUBLIC OFFICER",2
"18","ARSON",1
"19","HOMICIDE",1
"20","CONCEALED CARRY LICENSE VIOLATION",0
"21","GAMBLING",0
"22","HUMAN TRAFFICKING",0
"23","INTIMIDATION",0
"24","KIDNAPPING",0
"25","LIQUOR LAW VIOLATION",0
"26","NON - CRIMINAL",0
"27","NON-CRIMINAL",0
"28","NON-CRIMINAL (SUBJECT SPECIFIED)",0
"29","OBSCENITY",0
"30","OTHER NARCOTIC VIOLATION",0
"31","PROSTITUTION",0
"32","PUBLIC INDECENCY",0
"33","STALKING",0
