"","Crime Type","Occurrence"
"1","THEFT",51
"2","CRIMINAL DAMAGE",43
"3","BATTERY",32
"4","DECEPTIVE PRACTICE",29
"5","OTHER OFFENSE",23
"6","ASSAULT",19
"7","BURGLARY",18
"8","MOTOR VEHICLE THEFT",7
"9","CRIMINAL TRESPASS",3
"10","ROBBERY",3
"11","NARCOTICS",2
"12","OFFENSE INVOLVING CHILDREN",2
"13","CRIM SEXUAL ASSAULT",1
"14","INTIMIDATION",1
"15","PUBLIC PEACE VIOLATION",1
"16","SEX OFFENSE",1
"17","ARSON",0
"18","CONCEALED CARRY LICENSE VIOLATION",0
"19","GAMBLING",0
"20","HOMICIDE",0
"21","HUMAN TRAFFICKING",0
"22","INTERFERENCE WITH PUBLIC OFFICER",0
"23","KIDNAPPING",0
"24","LIQUOR LAW VIOLATION",0
"25","NON - CRIMINAL",0
"26","NON-CRIMINAL",0
"27","NON-CRIMINAL (SUBJECT SPECIFIED)",0
"28","OBSCENITY",0
"29","OTHER NARCOTIC VIOLATION",0
"30","PROSTITUTION",0
"31","PUBLIC INDECENCY",0
"32","STALKING",0
"33","WEAPONS VIOLATION",0
