"","Crime Type","Occurrence"
"1","THEFT",187
"2","BATTERY",149
"3","DECEPTIVE PRACTICE",90
"4","ROBBERY",78
"5","CRIMINAL DAMAGE",72
"6","ASSAULT",58
"7","CRIMINAL TRESPASS",31
"8","BURGLARY",29
"9","MOTOR VEHICLE THEFT",29
"10","OTHER OFFENSE",26
"11","NARCOTICS",14
"12","SEX OFFENSE",7
"13","WEAPONS VIOLATION",7
"14","OFFENSE INVOLVING CHILDREN",4
"15","CRIM SEXUAL ASSAULT",2
"16","INTERFERENCE WITH PUBLIC OFFICER",2
"17","ARSON",1
"18","HOMICIDE",1
"19","LIQUOR LAW VIOLATION",1
"20","NON-CRIMINAL",1
"21","PROSTITUTION",1
"22","CONCEALED CARRY LICENSE VIOLATION",0
"23","GAMBLING",0
"24","HUMAN TRAFFICKING",0
"25","INTIMIDATION",0
"26","KIDNAPPING",0
"27","NON - CRIMINAL",0
"28","NON-CRIMINAL (SUBJECT SPECIFIED)",0
"29","OBSCENITY",0
"30","OTHER NARCOTIC VIOLATION",0
"31","PUBLIC INDECENCY",0
"32","PUBLIC PEACE VIOLATION",0
"33","STALKING",0
