"","Crime Type","Occurrence"
"1","BATTERY",365
"2","THEFT",320
"3","CRIMINAL DAMAGE",293
"4","BURGLARY",138
"5","ASSAULT",135
"6","OTHER OFFENSE",113
"7","MOTOR VEHICLE THEFT",98
"8","NARCOTICS",87
"9","ROBBERY",83
"10","DECEPTIVE PRACTICE",76
"11","OFFENSE INVOLVING CHILDREN",29
"12","WEAPONS VIOLATION",28
"13","CRIMINAL TRESPASS",17
"14","PUBLIC PEACE VIOLATION",15
"15","HOMICIDE",12
"16","CRIM SEXUAL ASSAULT",11
"17","SEX OFFENSE",11
"18","INTERFERENCE WITH PUBLIC OFFICER",7
"19","ARSON",2
"20","STALKING",2
"21","KIDNAPPING",1
"22","LIQUOR LAW VIOLATION",1
"23","OBSCENITY",1
"24","CONCEALED CARRY LICENSE VIOLATION",0
"25","GAMBLING",0
"26","HUMAN TRAFFICKING",0
"27","INTIMIDATION",0
"28","NON - CRIMINAL",0
"29","NON-CRIMINAL",0
"30","NON-CRIMINAL (SUBJECT SPECIFIED)",0
"31","OTHER NARCOTIC VIOLATION",0
"32","PROSTITUTION",0
"33","PUBLIC INDECENCY",0
