"","Crime Type","Occurrence"
"1","THEFT",1046
"2","BATTERY",1041
"3","CRIMINAL DAMAGE",573
"4","ASSAULT",361
"5","OTHER OFFENSE",322
"6","BURGLARY",280
"7","DECEPTIVE PRACTICE",259
"8","ROBBERY",241
"9","NARCOTICS",188
"10","MOTOR VEHICLE THEFT",185
"11","CRIMINAL TRESPASS",114
"12","WEAPONS VIOLATION",48
"13","OFFENSE INVOLVING CHILDREN",43
"14","PUBLIC PEACE VIOLATION",22
"15","INTERFERENCE WITH PUBLIC OFFICER",21
"16","CRIM SEXUAL ASSAULT",19
"17","KIDNAPPING",10
"18","ARSON",8
"19","HOMICIDE",8
"20","SEX OFFENSE",8
"21","STALKING",6
"22","CONCEALED CARRY LICENSE VIOLATION",2
"23","GAMBLING",2
"24","HUMAN TRAFFICKING",0
"25","INTIMIDATION",0
"26","LIQUOR LAW VIOLATION",0
"27","NON - CRIMINAL",0
"28","NON-CRIMINAL",0
"29","NON-CRIMINAL (SUBJECT SPECIFIED)",0
"30","OBSCENITY",0
"31","OTHER NARCOTIC VIOLATION",0
"32","PROSTITUTION",0
"33","PUBLIC INDECENCY",0
