"","Crime Type","Occurrence"
"1","THEFT",428
"2","BATTERY",342
"3","CRIMINAL DAMAGE",286
"4","ASSAULT",158
"5","MOTOR VEHICLE THEFT",158
"6","BURGLARY",144
"7","OTHER OFFENSE",138
"8","DECEPTIVE PRACTICE",119
"9","ROBBERY",77
"10","CRIMINAL TRESPASS",38
"11","NARCOTICS",33
"12","OFFENSE INVOLVING CHILDREN",13
"13","PUBLIC PEACE VIOLATION",13
"14","CRIM SEXUAL ASSAULT",11
"15","HOMICIDE",9
"16","ARSON",8
"17","WEAPONS VIOLATION",8
"18","KIDNAPPING",5
"19","INTERFERENCE WITH PUBLIC OFFICER",4
"20","STALKING",4
"21","LIQUOR LAW VIOLATION",2
"22","INTIMIDATION",1
"23","SEX OFFENSE",1
"24","CONCEALED CARRY LICENSE VIOLATION",0
"25","GAMBLING",0
"26","HUMAN TRAFFICKING",0
"27","NON - CRIMINAL",0
"28","NON-CRIMINAL",0
"29","NON-CRIMINAL (SUBJECT SPECIFIED)",0
"30","OBSCENITY",0
"31","OTHER NARCOTIC VIOLATION",0
"32","PROSTITUTION",0
"33","PUBLIC INDECENCY",0
