"","Crime Type","Occurrence"
"1","THEFT",570
"2","BATTERY",534
"3","CRIMINAL DAMAGE",351
"4","ASSAULT",216
"5","OTHER OFFENSE",163
"6","ROBBERY",134
"7","MOTOR VEHICLE THEFT",131
"8","DECEPTIVE PRACTICE",129
"9","BURGLARY",92
"10","NARCOTICS",67
"11","CRIMINAL TRESPASS",44
"12","WEAPONS VIOLATION",36
"13","OFFENSE INVOLVING CHILDREN",27
"14","CRIM SEXUAL ASSAULT",19
"15","INTERFERENCE WITH PUBLIC OFFICER",10
"16","SEX OFFENSE",10
"17","HOMICIDE",7
"18","PUBLIC PEACE VIOLATION",6
"19","GAMBLING",2
"20","LIQUOR LAW VIOLATION",2
"21","STALKING",2
"22","ARSON",1
"23","HUMAN TRAFFICKING",1
"24","KIDNAPPING",1
"25","OBSCENITY",1
"26","PROSTITUTION",1
"27","CONCEALED CARRY LICENSE VIOLATION",0
"28","INTIMIDATION",0
"29","NON - CRIMINAL",0
"30","NON-CRIMINAL",0
"31","NON-CRIMINAL (SUBJECT SPECIFIED)",0
"32","OTHER NARCOTIC VIOLATION",0
"33","PUBLIC INDECENCY",0
