"","Crime Type","Occurrence"
"1","THEFT",480
"2","BATTERY",433
"3","CRIMINAL DAMAGE",316
"4","OTHER OFFENSE",161
"5","MOTOR VEHICLE THEFT",157
"6","ASSAULT",153
"7","BURGLARY",153
"8","DECEPTIVE PRACTICE",152
"9","ROBBERY",91
"10","NARCOTICS",47
"11","CRIMINAL TRESPASS",34
"12","OFFENSE INVOLVING CHILDREN",24
"13","WEAPONS VIOLATION",18
"14","CRIM SEXUAL ASSAULT",13
"15","SEX OFFENSE",13
"16","PUBLIC PEACE VIOLATION",8
"17","INTERFERENCE WITH PUBLIC OFFICER",7
"18","ARSON",4
"19","HOMICIDE",4
"20","INTIMIDATION",2
"21","KIDNAPPING",2
"22","GAMBLING",1
"23","LIQUOR LAW VIOLATION",1
"24","PROSTITUTION",1
"25","CONCEALED CARRY LICENSE VIOLATION",0
"26","HUMAN TRAFFICKING",0
"27","NON - CRIMINAL",0
"28","NON-CRIMINAL",0
"29","NON-CRIMINAL (SUBJECT SPECIFIED)",0
"30","OBSCENITY",0
"31","OTHER NARCOTIC VIOLATION",0
"32","PUBLIC INDECENCY",0
"33","STALKING",0
