"","Crime Type","Occurrence"
"1","BATTERY",302
"2","CRIMINAL DAMAGE",135
"3","ASSAULT",107
"4","THEFT",93
"5","OTHER OFFENSE",70
"6","BURGLARY",54
"7","MOTOR VEHICLE THEFT",33
"8","CRIMINAL TRESPASS",32
"9","ROBBERY",32
"10","WEAPONS VIOLATION",32
"11","NARCOTICS",27
"12","DECEPTIVE PRACTICE",24
"13","OFFENSE INVOLVING CHILDREN",12
"14","PUBLIC PEACE VIOLATION",7
"15","CRIM SEXUAL ASSAULT",6
"16","SEX OFFENSE",6
"17","STALKING",4
"18","HOMICIDE",3
"19","ARSON",2
"20","INTERFERENCE WITH PUBLIC OFFICER",1
"21","KIDNAPPING",1
"22","CONCEALED CARRY LICENSE VIOLATION",0
"23","GAMBLING",0
"24","HUMAN TRAFFICKING",0
"25","INTIMIDATION",0
"26","LIQUOR LAW VIOLATION",0
"27","NON - CRIMINAL",0
"28","NON-CRIMINAL",0
"29","NON-CRIMINAL (SUBJECT SPECIFIED)",0
"30","OBSCENITY",0
"31","OTHER NARCOTIC VIOLATION",0
"32","PROSTITUTION",0
"33","PUBLIC INDECENCY",0
