"","Crime Type","Occurrence"
"1","THEFT",465
"2","BATTERY",380
"3","CRIMINAL DAMAGE",308
"4","ASSAULT",173
"5","OTHER OFFENSE",140
"6","DECEPTIVE PRACTICE",109
"7","MOTOR VEHICLE THEFT",100
"8","BURGLARY",87
"9","NARCOTICS",78
"10","ROBBERY",67
"11","WEAPONS VIOLATION",30
"12","CRIMINAL TRESPASS",27
"13","OFFENSE INVOLVING CHILDREN",19
"14","PUBLIC PEACE VIOLATION",15
"15","ARSON",13
"16","CRIM SEXUAL ASSAULT",10
"17","HOMICIDE",9
"18","SEX OFFENSE",6
"19","INTERFERENCE WITH PUBLIC OFFICER",5
"20","KIDNAPPING",3
"21","LIQUOR LAW VIOLATION",3
"22","STALKING",2
"23","INTIMIDATION",1
"24","OBSCENITY",1
"25","CONCEALED CARRY LICENSE VIOLATION",0
"26","GAMBLING",0
"27","HUMAN TRAFFICKING",0
"28","NON - CRIMINAL",0
"29","NON-CRIMINAL",0
"30","NON-CRIMINAL (SUBJECT SPECIFIED)",0
"31","OTHER NARCOTIC VIOLATION",0
"32","PROSTITUTION",0
"33","PUBLIC INDECENCY",0
